Total Keypoints train: 192

Detectado Total_keypoints_object  coincidencias_validas(antes_de_ransac)  coincidencias_validas_(depues_ransac)  fps  fps_promedio
0 125 58 9 3,47186 inf
0 174 113 72 53,3477 28,4399
1 177 105 72 6,94532 28,4058
0 177 105 72 48,0007 28,4368
1 159 120 75 7,32504 28,4035
0 159 120 75 55,4971 28,4462
0 159 120 75 48,2115 28,4772
0 159 120 75 45,208 28,5035
0 159 120 75 56,3478 28,5472
1 173 112 70 7,02578 28,5135
1 155 101 61 6,63856 28,4793
0 155 101 61 51,6852 28,5155
1 161 114 68 6,49714 28,4812
0 161 114 68 59,9666 28,5302
1 93 85 34 9,23258 28,5002
1 133 107 55 7,01253 28,4669
0 133 107 55 41,9674 28,4878
1 141 104 65 7,92771 28,456
0 141 104 65 57,807 28,5013
1 141 104 65 25,8284 28,4972
1 70 66 16 6,1153 28,4627
0 70 66 16 52,8177 28,5002
0 70 66 16 53,3789 28,5383
1 81 81 28 9,33341 28,5089
0 81 81 28 55,4077 28,55
0 81 81 28 42,0149 28,5706
0 81 81 28 53,2705 28,6082
0 81 81 28 53,865 28,6467
1 108 104 59 8,01397 28,6153
1 89 95 39 9,67194 28,5866
1 152 109 66 6,82134 28,5536
1 137 104 61 6,63016 28,5204
1 131 89 51 7,81873 28,4892
1 171 104 64 7,35532 28,4573
1 177 105 65 7,36529 28,4255
0 32 51 12 6,84191 28,3931
1 168 115 59 6,94222 28,3609
1 163 101 55 7,29315 28,3293
1 169 101 65 6,9936 28,2973
1 175 95 54 7,14862 28,2657
1 194 107 69 7,2393 28,2343
0 194 107 69 45,415 28,2599
0 194 107 69 51,3605 28,2943
0 194 107 69 47,0609 28,3222
1 182 114 63 6,8871 28,2904
0 182 114 63 50,0227 28,3226
0 182 114 63 58,3158 28,367
0 182 114 63 60,0207 28,4137
0 182 114 63 57,3227 28,4564
0 182 114 63 57,2117 28,4987
0 182 114 63 52,3803 28,5338
0 182 114 63 57,3368 28,5761
0 182 114 63 41,7173 28,5954
0 182 114 63 56,7534 28,6366
0 61 78 14 5,90918 28,6034
0 61 78 14 47,3863 28,6308
0 61 78 14 48,128 28,6592
0 61 78 14 55,3375 28,6981
0 61 78 14 54,6212 28,7358
0 61 78 14 29,9572 28,7375
0 61 78 14 57,9108 28,7798
0 61 78 14 52,3535 28,8139
0 61 78 14 50,0352 28,8446
0 61 78 14 35,2125 28,8538
1 201 108 70 6,72414 28,8219
0 201 108 70 54,4545 28,8588
0 201 108 70 51,7918 28,8917
0 201 108 70 50,5277 28,9228
0 201 108 70 54,5047 28,9594
0 201 108 70 54,2825 28,9956
0 201 108 70 51,7572 29,0282
0 201 108 70 49,4093 29,0572
0 201 108 70 45,9302 29,0813
1 42 80 25 10,0805 29,0542
0 42 80 25 52,2524 29,0872
0 42 80 25 52,8037 29,1208
0 42 80 25 49,9049 29,1503
0 42 80 25 57,733 29,1907
0 42 80 25 54,1949 29,226
0 42 80 25 53,4524 29,2602
0 42 80 25 51,3341 29,2913
0 42 80 25 55,1693 29,3277
0 42 80 25 47,7483 29,3535
0 42 80 25 48,9668 29,381
0 59 67 16 6,98676 29,3497
0 59 67 16 56,2873 29,3874
0 59 67 16 49,0872 29,4149
0 59 67 16 53,5904 29,4486
0 59 67 16 52,8064 29,4811
1 83 91 45 7,92179 29,4511
1 124 91 53 7,59094 29,4208
1 80 86 37 7,39311 29,3902
1 74 82 40 7,03176 29,3593
1 131 95 41 6,86969 29,3282
1 96 91 40 7,02267 29,2973
1 162 110 47 6,19613 29,2655
1 132 88 42 6,30509 29,2339
1 184 93 48 5,98204 29,2019
1 179 91 47 6,16991 29,1702
1 207 106 60 6,37955 29,139
1 215 107 66 6,07139 29,1074
1 199 122 72 6,59018 29,0766
1 149 98 58 6,37808 29,0456
1 109 99 41 6,65177 29,015
1 155 97 54 6,68248 28,9846
1 126 97 44 6,98734 28,9547
1 129 94 48 7,28693 28,9252
1 150 114 53 6,32574 28,8945
0 45 79 15 4,11142 28,861
0 43 79 14 3,94117 28,8272
1 164 108 57 6,64421 28,7973
1 165 102 64 8,02047 28,7692
1 170 111 67 7,55149 28,7406
1 165 90 45 6,69941 28,711
1 184 107 51 6,04983 28,6805
1 175 102 45 7,24454 28,6517
1 158 81 37 5,98182 28,6214
1 161 86 36 5,62208 28,5906
0 87 83 20 4,33873 28,5581
1 126 107 49 6,51258 28,5287
1 202 92 56 6,56768 28,4994
1 183 109 61 6,75329 28,4705
1 197 92 52 6,51063 28,4413
1 207 111 62 6,72283 28,4124
1 211 92 55 7,62107 28,3848
0 211 92 55 37,7773 28,3973
1 209 104 55 6,53479 28,3684
1 212 99 63 7,5722 28,3409
1 49 87 30 11,4596 28,3186
1 86 88 22 5,19577 28,2882
0 86 88 22 55,5773 28,3241
1 192 88 44 8,56641 28,2981
0 64 83 19 4,85602 28,2673
0 64 83 19 64,2431 28,3145
0 64 83 19 55,5986 28,3502
